State,District,Latitude,Longitude
Andaman And Nicobar,Andaman Islands,12.382571069234947,92.82291050641373
Andaman And Nicobar,Nicobar Islands,7.835290749774165,93.51160123757904
Andhra Pradesh,Adilabad,19.28451395007342,78.81321233480176
Andhra Pradesh,Anantapur,14.312065561843168,77.46015844785772
Andhra Pradesh,Chittoor,13.331092630676949,78.92763898886032
Andhra Pradesh,Cuddapah,14.490289134125637,78.69613870967741
Andhra Pradesh,East Godavari,16.782718320784852,82.24320747205111
Andhra Pradesh,Guntur,15.884925767634854,80.58657614107884
Andhra Pradesh,Hyderabad,17.389715555555554,78.4666888888889
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571429
Andhra Pradesh,Khammam,17.683921325051763,80.67008643892339
Andhra Pradesh,Krishna,16.143872753151687,81.14805061000406
Andhra Pradesh,Kurnool,15.437597151424288,77.90086836581709
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.9893308924485
Andhra Pradesh,Medak,17.88930497803807,78.13778901903368
Andhra Pradesh,Nalgonda,17.113250515463918,79.16984453608248
Andhra Pradesh,Nellore,13.894344071421928,80.14702671812518
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566037
Andhra Pradesh,Prakasam,15.489039001601709,80.11665790176188
Andhra Pradesh,Rangareddi,17.245235872576178,78.05756828254847
Andhra Pradesh,Srikakulam,18.57090099869735,84.25874814010712
Andhra Pradesh,Vishakhapatnam,17.646839033989266,83.01014035778175
Andhra Pradesh,Vizianagaram,18.283296960329725,83.45982854198867
Andhra Pradesh,Warangal,18.017526086956522,79.87422028985507
Andhra Pradesh,West Godavari,16.632979439252335,81.45912990654206
Arunachal Pradesh,Changlang,27.36048479338843,96.375526446281
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013985
Arunachal Pradesh,East Siang,28.153823529411763,95.06499226006191
Arunachal Pradesh,Kurung Kumey,28.048533518005538,93.24531994459834
Arunachal Pradesh,Lohit,27.9467852739726,96.59670770547945
Arunachal Pradesh,Lower Dibang Valley,28.326517301038063,95.7656733564014
Arunachal Pradesh,Lower Subansiri,27.708492972972973,93.96226108108108
Arunachal Pradesh,Papum Pare,27.27352971698113,93.54468183962264
Arunachal Pradesh,Tawang,27.68068396226415,91.82504245283019
Arunachal Pradesh,Tirap,26.944062295081967,95.41470327868852
Arunachal Pradesh,Upper Dibang Valley,29.019947836538464,95.9877639423077
Arunachal Pradesh,Upper Siang,28.83092448979592,95.00155765306123
Arunachal Pradesh,Upper Subansiri,28.277196566523607,93.89914356223176
Arunachal Pradesh,West Kameng,27.46486582278481,92.65015750452079
Arunachal Pradesh,West Siang,28.106296920289857,94.53510344202898
Assam,Barpeta,26.427872264631045,90.97912010178116
Assam,Bongaigaon,26.450125219941352,90.67342961876834
Assam,Cachar,24.81557066869301,92.86849650455926
Assam,Darrang,26.584632159624412,92.04141338028168
Assam,Dhemaji,27.586533438485805,94.7133690851735
Assam,Dhuburi,26.04506148445336,89.98500822467402
Assam,Dibrugarh,27.306122844827584,95.09982823275863
Assam,Goalpara,26.017277777777778,90.59869891598916
Assam,Golaghat,26.37721970979444,93.82583397823458
Assam,Hailakandi,24.457496089385476,92.59154664804468
Assam,Jorhat,26.762448240165632,94.30197722567289
Assam,Kamrup,26.170939452054796,91.58863273972602
Assam,Karbi Anglong,26.089664545980334,93.11536570271832
Assam,Karimganj,24.69660712250712,92.36794985754986
Assam,Kokrajhar,26.497246635730857,90.1399747099768
Assam,Lakhimpur,27.141288059701495,94.07759492537313
Assam,Marigaon,26.24650046728972,92.21949953271029
Assam,Nagaon,26.2646217062635,92.93061911447084
Assam,Nalbari,26.463237676056337,91.4059852112676
Assam,North Cachar Hills,25.33829985315712,92.9774020558003
Assam,Sibsagar,27.027628695652172,94.90025847826087
Assam,Sonitpur,26.735149268292684,92.8519780487805
Assam,Tinsukia,27.535492911392407,95.69055949367089
Bihar,Araria,26.21152811918063,87.30766554934823
Bihar,Aurangabad,24.774291867469877,84.45986024096386
Bihar,Banka,24.832355642023344,86.86649163424124
Bihar,Begusarai,25.543026131687242,86.12560144032922
Bihar,Bhabua,25.02156642599278,83.61128104693141
Bihar,Bhagalpur,25.27719288537549,87.0421381422925
Bihar,Bhojpur,25.506664393939392,84.49407803030303
Bihar,Buxar,25.485930188679248,84.08808081761006
Bihar,Darbhanga,26.146187719298247,85.97387352472089
Bihar,Gaya,24.726654154727797,84.94291217765043
Bihar,Gopalganj,26.448743641618496,84.3463612716763
Bihar,Jamui,24.78418380462725,86.26316298200514
Bihar,Jehanabad,25.155679045643154,84.92081244813278
Bihar,Katihar,25.565653560371516,87.70466083591332
